date,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,Rainfall,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981-05-12,97.33,3.2,5.37,2.12,3.26,106.88,8.79,89.31,0.84,13.19,11.55,12.37,13.79,11.0,18.77,7.78,4.3,7.29,2.62,4.66,106.19
1981-05-13,97.47,4.95,6.21,3.7,2.52,144.38,7.45,86.69,2.88,11.41,9.13,10.27,11.88,7.45,15.51,8.06,6.41,7.66,5.09,2.56,144.25
1981-05-14,98.04,5.1,6.16,3.07,3.09,203.5,6.23,83.25,1.49,9.49,6.59,8.05,9.89,6.09,12.51,6.41,6.92,8.18,5.58,2.6,203.81
1981-05-15,98.05,6.78,10.12,2.89,7.23,144.81,6.53,92.44,14.23,8.54,7.39,7.97,8.61,4.36,10.74,6.38,8.98,13.02,4.52,8.51,145.56
1981-05-16,97.37,6.12,9.58,2.23,7.35,164.81,6.1,87.81,3.55,8.19,6.2,7.2,8.53,4.52,10.71,6.19,8.05,12.76,3.33,9.43,165.5
1981-05-17,97.39,7.58,10.61,3.59,7.02,182.62,6.59,90.25,6.43,8.89,7.37,8.12,8.89,4.99,11.52,6.53,10.28,14.09,6.94,7.15,183.81
1981-05-18,97.83,8.05,10.55,4.73,5.81,159.56,7.32,96.0,7.31,9.46,8.87,9.16,9.41,6.4,12.99,6.59,10.55,13.88,6.3,7.57,161.0
1981-05-19,98.52,4.21,5.66,3.05,2.61,172.44,7.32,90.31,1.07,10.63,9.07,9.85,10.96,7.62,14.94,7.32,5.81,8.01,3.62,4.39,173.44
1981-05-20,98.21,5.05,6.59,2.24,4.34,166.81,8.24,91.19,12.85,12.19,10.76,11.48,12.22,7.88,16.27,8.39,7.16,8.93,4.91,4.02,167.06
1981-05-21,98.27,6.33,8.24,3.56,4.68,168.69,7.08,88.12,2.91,10.48,8.55,9.51,10.62,5.55,13.46,7.91,8.62,10.45,6.91,3.53,169.69
1981-05-22,98.22,6.3,7.57,5.21,2.36,194.31,7.02,89.69,5.51,10.15,8.49,9.32,10.26,4.84,12.86,8.01,8.35,10.36,7.22,3.14,195.56
1981-05-23,97.68,7.78,9.73,4.45,5.28,210.94,6.84,87.88,5.89,9.95,7.96,8.96,10.19,5.73,12.9,7.15,10.39,12.06,7.36,4.7,212.06
1981-05-24,97.51,5.23,7.05,2.77,4.28,204.5,6.41,89.19,8.68,8.65,6.94,7.8,8.76,3.43,10.4,6.98,7.29,8.71,5.34,3.37,205.56
